标题,开发商,房子信息,发布信息,售价/万,单价
附二院旁 精装两室 生活交通方便 拎包入住,交林小区 -丰宁,2室1厅 | 45.49平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,48,"10,552元/平"
房东急卖，急卖，急卖，小区醉平逸的一套房子。,万科公园里 -新螺蛳湾,3室1厅 | 104.4平米 | 西 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 7天以前发布,116,"11,112元/平"
红云天骄醉好的三房两卫户型 担架8开头,天骄北麓 -红云,3室1厅 | 108平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 7天以前发布,94,"8,704元/平"
巫家坝旁 盘龙江边 怡园小区 地铁口 诚心急售,怡园小区 -巫家坝,2室2厅 | 66.24平米 | 东 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,62,"9,360元/平"
房本在手方便交易 户型方正 楼层好 精装修 位置好,金沙小区 -金沙,2室1厅 | 57.01平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 25天以前发布,58.5,"10,262元/平"
昆一中 市体育馆旁 精装一室 户型方正生活交通方便,印刷厂职工宿舍 -丰宁,1室1厅 | 35.64平米 | 西 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 16天以前发布,38.8,"10,887元/平"
一环边 地铁口 楼层好 配套齐全 产权清晰 诚售,新迎园丁小区 -新迎,3室2厅 | 71.19平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,87.6,"12,306元/平"
巫家坝旁 怡园地铁口怡园小区精装三房拎包入住急售,怡园小区 -巫家坝,3室2厅 | 65.88平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 19天以前发布,80,"12,144元/平"
业主急售 盛唐城 精装3房保养好 满二 含家具 环境好,俊发盛唐城F区 -世博,3室2厅 | 93.6平米 | 东 南 | 精装 | 低楼层(共43层)  | 塔楼,0人关注 / 21天以前发布,112,"11,966元/平"
房子是次新小区 城投开发，自己的物业，领包即可入住,融城园城 -高新,3室2厅 | 94.23平米 | 西南 | 精装 | 中楼层(共42层)  | 塔楼,1人关注 / 10天以前发布,111,"11,780元/平"
房子楼层好，业主诚心出售，看房方便,金坤尚城学府里 -南亚,2室1厅 | 86.69平米 | 东 | 简装 | 中楼层(共34层)  | 塔楼,1人关注 / 27天以前发布,97,"11,190元/平"
万科魅力之城 3室2厅 西南,万科魅力之城 -新亚洲,3室2厅 | 123.46平米 | 西南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,146,"11,826元/平"
美的顺城府 4室2厅 南 北,美的顺城府 -东白沙河,4室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 18天以前发布,205,"13,852元/平"
融创文旅城A17地块端户大四房可观滇池西山,昆明融创文旅城 -草海,4室2厅 | 179平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 23天以前发布,263,"14,693元/平"
海伦国际南向大三房，带家具家电，看房方便,海伦国际柏林区 -世纪城,3室2厅 | 139平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 20天以前发布,128,"9,209元/平"
端头房，通透户型，采光很好，功能分区好,俊发彩云城澜湾 -新螺蛳湾,3室2厅 | 114平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,135,"11,843元/平"
官南大道中段小街站地铁口怡园小区三房出售,怡园小区 -巫家坝,3室2厅 | 65.88平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,74,"11,233元/平"
春江明月一梯一户南向通透板式房12000元一平米,绿城春江明月 -红云,3室2厅 | 122.53平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 19天以前发布,155,"12,650元/平"
二次装修，一天未住，房东诚心出售，高楼层，欢迎咨询,万科魅力之城 -新亚洲,4室2厅 | 124平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 23天以前发布,159.5,"12,863元/平"
世纪城房子是一梯两户的洋房 经典3室明厨明卫急卖,彼岸一区 -新亚洲,3室2厅 | 96.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 25天以前发布,96,"9,994元/平"
标准三室两厅，双地铁.中间楼层。户型方正，房改房.,国电昆明勘测设计院宿舍 -新迎,3室2厅 | 61.23平米 | 东南 西北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 18天以前发布,75,"12,249元/平"
房东自住装修，诚心出售，户型方正。,万科魅力之城 -新亚洲,3室2厅 | 109.41平米 | 南 北 | 精装 | 中楼层(共25层)  | 塔楼,15人关注 / 7个月以前发布,128,"11,700元/平"
未名城A3地块，楼层好，户型方正，视野开阔，光照,未名城A3地块 -大商汇,3室2厅 | 112.4平米 | 西 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,118,"10,499元/平"
龙泉路齿轮厂两居室南向无遮挡一楼带花园  看房有钥匙,云南齿轮厂职工宿舍 -红云,2室2厅 | 51.48平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,62,"12,044元/平"
万科公园里 带车位 带欧派全屋定制 拎包入住,万科公园里 -新螺蛳湾,3室1厅 | 104.42平米 | 西 | 精装 | 高楼层(共34层)  | 塔楼,2人关注 / 1个月以前发布,128,"12,259元/平"
度假区房东急售房源.滇池500米远,滇池印象花园 -大商汇,2室1厅 | 85.36平米 | 西南 | 其他 | 低楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,110,"12,887元/平"
世纪半岛茶溪谷 中空大跃层 带产权车库  满五年唯一,世纪半岛茶溪谷 -红星,5室2厅 | 179.53平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,260,"14,483元/平"
万科公园里精装修端头3房带负一楼电梯口车位，带家具,万科公园里 -新螺蛳湾,3室2厅 | 82.43平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,106,"12,860元/平"
采光好无遮挡，配套齐全，离1，4号地铁线,俊发彩云城澜湾 -新螺蛳湾,3室2厅 | 109.28平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 8个月以前发布,140,"12,812元/平"
世纪城旁 全新毛坯 看房方便  户型方正 恒大城,昆明恒大城 -滇池半岛,4室2厅 | 96.78平米 | 南 北 | 其他 | 低楼层(共35层)  | 板楼,0人关注 / 6天以前发布,106.6,"11,015元/平"
精装大三房、满五唯一，房主诚心售,书香门第 -红云,3室2厅 | 112.41平米 | 东 西 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 3个月以前发布,113,"10,053元/平"
万科公园里精装修3房急售！保养次新，有钥匙方便看房,万科公园里 -新螺蛳湾,3室2厅 | 87.68平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,103,"11,748元/平"
业主急卖 房子户型房子 朝向好 双阳台设计,天骄北麓 -红云,2室2厅 | 75.9平米 | 东 | 其他 | 低楼层(共34层)  | 塔楼,1人关注 / 2个月以前发布,68.5,"9,026元/平"
：南北通透 南向通透出太阳可以晒到你家2米的大床上,银城花园 -国贸,2室1厅 | 64.44平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,66,"10,243元/平"
呈贡大学城，云南大学50米天水，嘉园跃层住宅,天水嘉园 -呈贡,5室2厅 | 230.25平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,205,"8,904元/平"
爱琴海芳草地旁中间楼层大3房小区中间位置单价1.2万,佳兆业壹号公馆 -红星,3室1厅 | 125平米 | 东北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,135,"10,800元/平"
联排中户 看房方便 业主诚心售卖,滇池向阳院 -新亚洲,6室2厅 | 241平米 | 西南 | 简装 | 3层  | 板楼 | 联排别墅 ,3人关注 / 1个月以前发布,360,"14,938元/平"
北市区标准四房，朝向好，采光通风好,华龙人家 -红云,4室2厅 | 126平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,119,"9,445元/平"
红星爱琴海旁精装修大4房东南向平层大户型楼层视线好,红星紫郡 -红星,4室2厅 | 153.55平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,200,"13,026元/平"
润城第三大道 东南端户视野好无遮挡 明厨明卫 带车位,润城第三大道 -西山万达,4室2厅 | 126.97平米 | 东南 | 简装 | 中楼层(共34层)  | 塔楼,5人关注 / 11个月以前发布,152,"11,972元/平"
新房源 春江明月 证在手 中间楼层 对盘龙江 急卖,绿城春江明月 -红云,4室2厅 | 163.71平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,1人关注 / 1个月以前发布,239,"14,599元/平"
春江明月两梯两户南北采光通风毛坯板房122平158万,绿城春江明月 -红云,3室2厅 | 122平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 7天以前发布,158,"12,951元/平"
次新房，新小区，小区环境好，出行便利,云南映象城市公园广场 -世博,3室2厅 | 87平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,87,"10,000元/平"
装修带车位！1梯2户！满两年！无需担心小孩上学问题,时代俊园 -呈贡,4室2厅 | 144平米 | 东 西 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 15天以前发布,109,"7,570元/平"
倚澜园，滇池边160平米洋房诚心出售,倚澜苑 -呈贡,3室1厅 | 160.89平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,142,"8,826元/平"
大学城地铁口旁 精装修  满二 房东急卖,蓝光天娇城 -呈贡,3室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,1人关注 / 8天以前发布,56,"6,022元/平"
总价100多万买精装带全套家具家电跃层现房《翡丽公园,保利阳光城翡丽公园 -经开区,4室2厅 | 113平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 9天以前发布,99,"8,762元/平"
海伦中心 2室1厅 北,海伦中心 -高新,2室1厅 | 44平米 | 北 | 精装 | 低楼层(共22层)  | 塔楼,2人关注 / 10天以前发布,33,"7,500元/平"
格局好，采光通风好，交通便利，户型方正,蓝光林肯公园 -司家营,4室2厅 | 127.06平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,166.7,"13,120元/平"
证满二，中间楼层，精装修，业主诚心卖！带有车位,华飞名盛世界 -呈贡,3室2厅 | 135.7平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,14人关注 / 4个月以前发布,110,"8,107元/平"
春融街地铁口七彩云南笫壹城精装二室,七彩云南第壹城 -呈贡,2室1厅 | 96.85平米 | 东 | 精装 | 44层  | 塔楼,10人关注 / 10个月以前发布,98,"10,119元/平"
春融街地铁口七彩云南笫壹城精装二室,七彩云南第壹城 -呈贡,2室1厅 | 96.85平米 | 东 | 精装 | 44层  | 塔楼,10人关注 / 10个月以前发布,98,"10,119元/平"
92平三房 中间楼层，采光无遮挡,云南映象C区 -世博,3室2厅 | 91.88平米 | 南 西南 | 精装 | 低楼层(共25层)  | 板塔结合,2人关注 / 6个月以前发布,115,"12,517元/平"
塘双路南站，塘子巷地铁口，两室两厅精装修！,南站新村 -吴井,2室2厅 | 65.4平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,1人关注 / 1个月以前发布,68.5,"10,475元/平"
南亚地铁口带露台精装修好房房东急售,凯旋花园北区 -南亚,1室1厅 | 55.78平米 | 东北 | 精装 | 低楼层(共11层)  | 塔楼,20人关注 / 7个月以前发布,54,"9,681元/平"
户型方正，前后无遮挡，采光通风好，小2室 得房率高,万科魅力之城 -新亚洲,2室2厅 | 65.4平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,15人关注 / 11个月以前发布,81.7,"12,493元/平"
恒大套三双卫+双阳台+南北通透+证在手满二,昆明恒大名都西区 -高新,3室2厅 | 116.67平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,146,"12,514元/平"
盛唐城端头精装三房 满两年 户型方正 业主诚心出售,俊发盛唐城F区 -世博,3室2厅 | 104.89平米 | 东 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,125,"11,918元/平"
业主诚心出售景观通透4房明厨明卫带车位,世纪城岚春苑 -世纪城,4室2厅 | 151.05平米 | 东南 | 精装 | 高楼层(共19层)  | 板楼,2人关注 / 4个月以前发布,182,"12,049元/平"
时代俊园（4室2厅1厨2卫）带车位,时代俊园 -呈贡,4室1厅 | 140.61平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,2人关注 / 2个月以前发布,103.8,"7,383元/平"
买房子带全套家具家电 拎包入住 婚房装修 证在手满二,金尚俊园 -白云,4室2厅 | 142.74平米 | 东南 | 精装 | 低楼层(共44层)  | 塔楼,52人关注 / 6个月以前发布,200,"14,012元/平"
端头户，带大阳台，视野好，无遮挡，无抵押证在手,七彩云南第壹城 -呈贡,3室2厅 | 134.18平米 | 东南 | 毛坯 | 34层  | 塔楼,2人关注 / 6个月以前发布,158,"11,776元/平"
西南端头 中间楼层 业主诚心出售,融城昆明湖 -昆明湖公园,3室2厅 | 120.14平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,118,"9,822元/平"
房产证满2年，西南朝向精装修，前面没有遮挡对花园,河畔俊园 -新亚洲,4室2厅 | 118平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 4个月以前发布,166,"14,068元/平"
性   价   比  一眼看中即可购买,广电苑义园 -呈贡,3室2厅 | 156.99平米 | 东 西 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 3个月以前发布,92,"5,861元/平"
万达旁润城五区精装三房诚心出售，急售,润城五区 -西山万达,3室1厅 | 88.79平米 | 西南 | 精装 | 中楼层(共33层)  | 板塔结合,24人关注 / 一年前发布,129.8,"14,619元/平"
半岛117 带前后露台 精装诚售 无遮挡,中海半岛华府 -滇池半岛,3室2厅 | 116.53平米 | 西南 | 精装 | 11层  | 板楼,7人关注 / 7个月以前发布,175,"15,018元/平"
滇池旁 关 实验 官一中旁三房两卫 明厨明卫拎包入住,河畔俊园 -新亚洲,3室2厅 | 84.84平米 | 西南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,125,"14,734元/平"
房子精装修。户型方正，房东诚心出售。,融城春晓 -国贸,3室2厅 | 86.08平米 | 东南 南 | 简装 | 低楼层(共34层)  | 塔楼,5人关注 / 一年前发布,118,"13,709元/平"
巫家坝 融创澜玥台洋房 一梯两户 中间楼层  证满两年,融创澜玥台 -巫家坝,4室2厅 | 141平米 | 东 西 | 简装 | 中楼层(共12层)  | 板楼,2人关注 / 7个月以前发布,218,"15,461元/平"
滇池海埂大坝边 观滇池大三房 满五年唯一 145万急售,听涛雅苑 -度假区,3室2厅 | 109.41平米 | 东南 | 精装 | 高楼层(共5层)  | 板楼,14人关注 / 5个月以前发布,145,"13,253元/平"
地铁 花园洋房社区 精装 三室 端头房 （一口价）,实力山语间 -金马,3室2厅 | 88.99平米 | 东 西 | 精装 | 中楼层(共24层)  | 塔楼,3人关注 / 3个月以前发布,102,"11,462元/平"
此房满二年 楼层朝向好，东南朝向 房东诚心出售,万科魅力之城 -新亚洲,2室1厅 | 72.67平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,91.6,"12,605元/平"
此房是武成片区的房源，满二年，免增值税，东北户型,如安街54号 -小西门,2室1厅 | 46.98平米 | 东 | 精装 | 低楼层(共6层)  | 塔楼,8人关注 / 8个月以前发布,125,"26,608元/平"
牛街庄站旁 香颂时光 出一套卖一套 精装88平低总价,世豪香颂时光 -昆船,2室2厅 | 67.15平米 | 东 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 2个月以前发布,69,"10,276元/平"
招商雍景湾8层电梯洋房，精装修4房，满两年诚心出售,招商雍景湾 -滇池半岛,4室2厅 | 139.16平米 | 西南 | 精装 | 中楼层(共8层)  | 板楼,45人关注 / 11个月以前发布,248,"17,822元/平"
南北通透全新装修，满5唯一。证件在手，看房方便。,昆明电缆厂生活区 -西部客运站,3室2厅 | 88.96平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,75,"8,431元/平"
毛坯房，可以按自己喜欢的风格装修。,都铎城邦6号院 -新螺蛳湾,4室2厅 | 127.75平米 | 东南 | 毛坯 | 低楼层(共16层)  | 板楼,2人关注 / 5个月以前发布,205,"16,047元/平"
一环内 水晶花园 证在手 随时方便看房,水晶花园 -白云,3室2厅 | 91.73平米 | 东南 西北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,91,"9,921元/平"
滇池俊府顶楼带阁楼带露台带车位诚心出售看房方便,滇池俊府 -滇池半岛,4室2厅 | 126.11平米 | 东南 | 毛坯 | 高楼层(共8层)  | 板楼,18人关注 / 一年前发布,252,"19,983元/平"
世纪城优质四房带车位，证在手通透户型，看房方便,世纪城玉春苑 -世纪城,4室2厅 | 144.17平米 | 东南 | 精装 | 低楼层(共16层)  | 板楼,7人关注 / 一年前发布,162,"11,237元/平"
