标题,开发商,房子信息,发布信息,售价/万,单价
保利华庭，中高楼层，采光视野好。有车位地下室。,保利华庭 -化纤厂路,3室2厅 | 91.68平米 | 南 北 | 精装 | 高楼层(共34层) | 2016年建 | 板楼,1人关注 / 20天以前发布,207,"22,579元/平"
楼座不沿街  临  近西门 出行方便 有拐角飘窗,万科新里程 -张马屯,2室2厅 | 81.11平米 | 南 | 精装 | 低楼层(共34层) | 2017年建 | 板楼,2人关注 / 1个月以前发布,120,"14,795元/平"
精装三室 两室朝阳 中间楼层采光好 车位另算,中海国际中央公馆南区 -二环南路,3室2厅 | 107.91平米 | 南 西北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,203,"18,812元/平"
营市西街小两室，南北通透 带院阳光好，双气，上营东,营市西街 -营市街,2室1厅 | 46.01平米 | 南 北 | 毛坯 | 低楼层(共4层) | 1998年建 | 板楼,1人关注 / 18天以前发布,66,"14,345元/平"
营市西街 双气 朝阳 采光好 无记录,营市西街 -营市街,2室1厅 | 60.72平米 | 南 北 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,2人关注 / 31天以前发布,56,"9,223元/平"
温馨小两室 总价低 适合老人居住  环境干净整洁,名辉豪庭 -还乡店,2室1厅 | 80.88平米 | 南 北 | 简装 | 中楼层(共22层)  | 板楼,3人关注 / 20天以前发布,115,"14,219元/平"
满二。房主诚意卖，房子是精装，户型方正,中海华山珑城 -华山,2室2厅 | 96.07平米 | 南 | 精装 | 高楼层(共27层) | 2016年建 | 板楼,3人关注 / 22天以前发布,122,"12,700元/平"
旅游路南 精装三三居室 七层电梯洋房 山大辅仁片区,伴山苑 -旅游路,3室2厅 | 139.86平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,515,"36,823元/平"
名士豪庭精装修三居室，不不临街，观山景,名士豪庭1区 -浆水泉区,3室2厅 | 135.38平米 | 南 北 | 精装 | 25层 | 2011年建 | 板楼,2人关注 / 16天以前发布,360,"26,592元/平"
眼镜房，采光视野好，离西门近，精装，地下室,鲁能领秀城E区 -领秀城,3室2厅 | 134.66平米 | 南 北 | 精装 | 中楼层(共16层) | 2008年建 | 板楼,9人关注 / 29天以前发布,326,"24,210元/平"
北湖旁 两居室 南北通透 满二 有车位 拎包入住 诚心售,海尔云世界滟澜公馆花园三区 -水屯,2室2厅 | 84.71平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 16天以前发布,121,"14,285元/平"
电梯洋房，客厅卧室朝阳，中间楼层无遮挡，视野采光好,兴业嘉苑新天地 -七里河,2室2厅 | 101.87平米 | 南 北 | 精装 | 高楼层(共12层) | 2003年建 | 板楼,3人关注 / 19天以前发布,138,"13,547元/平"
花园洋房，户型动静分离，业主诚心卖，有车位,龙湖水晶郦城 -西客站,3室2厅 | 115.44平米 | 南 北 | 简装 | 低楼层(共13层) | 2017年建 | 板楼,1人关注 / 24天以前发布,192,"16,633元/平"
满两年免高税 两室朝南 楼层采光无遮挡 诚心出售,中建锦绣城 -西客站,2室2厅 | 91.37平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 板楼,2人关注 / 28天以前发布,115,"12,587元/平"
鑫苑国际 9层洋房 中间楼层 精装修,鑫苑国际城市花园 -国际会展中心,2室1厅 | 78.75平米 | 南 北 | 简装 | 中楼层(共9层) | 2009年建 | 板楼,3人关注 / 24天以前发布,136,"17,270元/平"
堤口路 济洛路成丰桥西官扎营新区 电梯房低总价配套全,官扎营新区 -堤口路,2室1厅 | 62.06平米 | 南 | 简装 | 中楼层(共33层) | 2014年建 | 板楼,2人关注 / 29天以前发布,80,"12,891元/平"
和谐广场 五院 南北通透 一楼带院 急卖  地铁口,南辛庄东路 -南辛庄,3室1厅 | 59.98平米 | 南 北 | 精装 | 低楼层(共5层) | 1990年建 | 板楼,2人关注 / 25天以前发布,81,"13,505元/平"
官扎营新区 2室1厅 南 北,官扎营新区 -堤口路,2室1厅 | 68.35平米 | 南 北 | 精装 | 中楼层(共32层) | 2014年建 | 板楼,0人关注 / 13天以前发布,92,"13,461元/平"
楼层好 采光好 视野开阔 房子很优质，有钥匙,羊头峪东沟 -文化东路,3室2厅 | 75.38平米 | 南 北 | 简装 | 中楼层(共5层) | 1990年建 | 板楼,5人关注 / 12天以前发布,150,"19,900元/平"
有地下车位 有地下车位 中间楼层 采光好 双气 诚心卖,万盛新区 -堤口路,2室1厅 | 57.43平米 | 南 | 简装 | 18层 | 2015年建 | 板楼,0人关注 / 12天以前发布,68,"11,841元/平"
舜耕小 学对 面 业主换房出售 婚房装修 满五唯一,舜玉小区北区 -舜玉区,2室1厅 | 60.68平米 | 南 北 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,1人关注 / 7天以前发布,78,"12,855元/平"
山大南路83号 2室1厅 南,山大南路83号 -山大路,2室1厅 | 44.95平米 | 南 | 其他 | 低楼层(共5层) | 1983年建 | 板楼,1人关注 / 7天以前发布,108,"24,027元/平"
两卧室朝阳 南北两个阳台 三室两卫户型 南面无遮挡,绿地国际花都 -腊山,3室2厅 | 114.52平米 | 南 | 精装 | 中楼层(共33层) | 2013年建 | 板楼,10人关注 / 26天以前发布,138,"12,051元/平"
此房满五唯一 中间楼层精装两居室,鑫苑名家 -水屯,2室2厅 | 83.71平米 | 南 | 精装 | 中楼层(共33层) | 2015年建 | 板楼,0人关注 / 21天以前发布,120,"14,336元/平"
此房有证，格局好，楼层好，视野宽阔，配套齐,盛福花园 -盛福,3室1厅 | 92.74平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,0人关注 / 25天以前发布,145,"15,636元/平"
房子满二，精装修，户型好楼层采光好，业主诚心卖,中新国际城 -济钢,3室2厅 | 94.97平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 29天以前发布,145,"15,268元/平"
万象新天哈佛郡 精装三居室 停车方便带地下室,万象新天哈佛郡 -王舍人,3室2厅 | 106.42平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,138,"12,968元/平"
30万精装！靠地铁！历下区！有车位！证满五！带全套,尚品燕园 -盛福,3室1厅 | 109.6平米 | 南 北 | 精装 | 33层 | 2015年建 | 板楼,5人关注 / 24天以前发布,198,"18,066元/平"
此房免高税 有地下室 装修好 出行方便 南北通透,鸿建花园 -建设路,2室2厅 | 81.54平米 | 南 北 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,0人关注 / 18天以前发布,126,"15,453元/平"
好户型，好教育，好楼层，好看房，好物业，好装修,鑫苑世家公馆B5地块 -西客站,3室1厅 | 92.94平米 | 南 北 | 简装 | 低楼层(共31层) | 2018年建 | 板楼,1人关注 / 27天以前发布,146,"15,710元/平"
正规三居室+两室朝阳+免双税+产权明晰+无抵押贷款,金牛小区 -标山,3室2厅 | 102.59平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,2人关注 / 24天以前发布,95,"9,261元/平"
丰润怡邻居 3室2厅 南 北,丰润怡邻居 -南辛庄,3室2厅 | 125.88平米 | 南 北 | 简装 | 中楼层(共12层) | 2012年建 | 板塔结合,3人关注 / 27天以前发布,165,"13,108元/平"
翡翠郡南区，产权车位，产权地下室，精装大三室，诚售,重汽翡翠郡南区 -长途汽车站,3室2厅 | 139.34平米 | 南 北 | 精装 | 高楼层(共17层) | 2008年建 | 板楼,0人关注 / 16天以前发布,255,"18,301元/平"
