标题,开发商,房子信息,发布信息,售价/万,单价
世悦府精装修 小三居，满二拎包入住,世悦府 -大阅城,3室2厅 | 110.52平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,127,"11,492元/平"
业主着急出售，全天采光视野，看房方便,蘭溪谷 -丽景北街,3室2厅 | 133.74平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,86.6,"6,476元/平"
金凤区  新琇苑   楼层 好房屋出售,新琇苑 -森林公园,2室2厅 | 88.5平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,7人关注 / 一年前发布,56,"6,328元/平"
正源南街 悠阅城旁 南北通透四居室 精装修 拎包入住,中海国际社区 -七子连湖,4室2厅 | 139.68平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,113,"8,090元/平"
金凤新华联 紫阳精装婚房 两居室 拎包入住,紫阳小区 -金凤新华联广场,2室2厅 | 75.66平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,54.8,"7,243元/平"
此房位置好，采光好，交通便利，配套设施完善,文萃小区 -西夏区怀远路,3室2厅 | 76.61平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,50.8,"6,631元/平"
"小面积,底总价,压力小,值得你拥有",高桥家园 -七子连湖,2室1厅 | 80平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 5天以前发布,42,"5,250元/平"
15年电梯房高楼层，采光好视野宽阔，户型方正,前程家园 -丽景南街,2室1厅 | 78.3平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,34,"4,343元/平"
阅海商务区电梯复式 南北 通透  一手手续,居安家园 -金凤区,4室2厅 | 158.11平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,0人关注 / 17天以前发布,71,"4,491元/平"
鹿先生洋房二期 新小区 紧凑三居 视野开阔 毛坯好装修,鹿先生的洋房二期 -丽景北街,3室2厅 | 103.83平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 6天以前发布,72,"6,935元/平"
大连路兴庆天山熙湖旁君临天下四室集中供暖通体阳台,君临天下 -贺兰县,4室2厅 | 147平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,116,"7,892元/平"
金地花园D区三居南北通透户型，中间楼层。,金地花园D区 -金凤新华联广场,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,138.5,"10,821元/平"
昊天洋房三居室  精装修 中间层有储藏室,昊天大院 -新华联,3室2厅 | 114.67平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,89.8,"7,832元/平"
精装三室带家具家电  碧桂园万科 融创御龙湾小区,永泰御龙湾 -南门,3室2厅 | 132.16平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 23天以前发布,99,"7,491元/平"
御龙湾大三居 精装修 吾悦广场旁,永泰御龙湾 -南门,3室2厅 | 132.91平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 27天以前发布,92,"6,922元/平"
金盾小区，低楼层 精装大三居 采光好,金盾小区 -新一中,3室2厅 | 103.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 25天以前发布,51,"4,931元/平"
