c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
1194.31,0,1,566,1,10855.35,0,278.6,278.61,83,0,200195,0,22.94,422.53,0,0,4,1,5,113.72,651.1,130,1,23000
1194.31,1,1,179,0,10855.35,0,278.6,278.61,97,0,200195,2,22.95,422.53,0,0,4,0,5,114.0,651.1,142,1,22000
1194.31,0,0,2457,1,10855.35,1,278.6,278.61,75,1,200195,0,22.96,422.53,1,0,3,0,5,113.9,651.1,117,0,18800
1194.31,1,0,792,1,10855.35,0,278.6,278.61,80,1,200195,0,23.12,422.53,0,0,5,0,5,113.88,651.1,247,1,16800
1194.31,0,0,556,1,10855.35,0,278.6,278.61,101,0,200195,0,22.83,422.53,1,0,4,0,5,113.62,651.1,140,1,27500
1194.31,1,0,492,1,10855.35,0,278.6,278.61,86,1,200195,0,22.98,422.53,1,0,3,0,5,114.08,651.1,124,1,17000
1194.31,1,0,802,1,10855.35,0,278.6,278.61,65,0,200195,2,23.12,422.53,0,1,3,0,5,113.9,651.1,120,1,20000
36.32,0,0,1860,0,395.33,0,97.6,19.38,62,0,145900,0,19.68,2.35,1,1,3,0,5,109.22,19.4,122,0,16000
36.32,1,0,1977,0,395.33,0,97.6,19.38,98,0,145900,0,19.55,2.35,0,1,4,0,5,109.6,19.4,140,0,9000
36.32,1,0,1259,0,395.33,0,97.6,19.38,70,0,145900,0,19.52,2.35,0,1,2,0,5,109.56,19.4,79,0,9300
36.32,0,0,2135,0,395.33,0,97.6,19.38,45,0,145900,0,19.7,2.35,1,1,2,0,5,109.23,19.4,105,0,15800
36.32,0,0,1568,0,395.33,0,97.6,19.38,102,0,145900,0,19.54,2.35,0,1,4,0,5,109.6,19.4,142,0,9650
36.32,1,0,1894,0,395.33,0,97.6,19.38,110,0,145900,0,19.53,2.35,0,1,3,0,5,109.6,19.4,110,0,11000
36.32,1,0,1939,0,395.33,0,97.6,19.38,89,0,145900,0,19.54,2.35,0,1,4,0,5,109.61,19.4,171,0,9000
36.32,1,0,1205,0,395.33,0,97.6,19.38,98,0,145900,0,19.55,2.35,0,1,4,0,5,109.59,19.4,128,0,10000
98.53,1,0,798,0,2656.56,0,95.6,54.65,90,1,504200,0,31.01,25.41,1,0,4,0,4,104.28,22.2,143,1,7000
98.53,1,0,870,0,2656.56,0,95.6,54.65,89,0,504200,0,31.0,25.41,1,0,4,0,4,104.26,22.2,138,1,6500
98.53,1,0,1389,0,2656.56,0,95.6,54.65,100,1,504200,0,30.95,25.41,1,0,3,0,4,104.29,22.2,145,1,6300
98.53,1,0,597,0,2656.56,0,95.6,54.65,78,1,504200,0,31.0,25.41,0,1,3,0,4,104.3,22.2,123,1,4500
