min_frame_area,max_frame_area,open_date,has_short_video,longitude,urban_district_population,gdp,urban_district_temporary_population,lowest_total_price,urban_population,max_frame_rooms,greenland,c_area,near_main_road,region,reference_highest_total_price,decoration,latitude,biz,shopping,metro,green_space_and_square,reference_lowest_total_price,reference_unit_price
89,138,870,0,104.26,95.6,2656.56,22.2,670000,54.65,4,0,98.53,0,4,140.0,1,31.0,1,1,0,25.41,80.0,6500
100,145,1389,0,104.29,95.6,2656.56,22.2,680000,54.65,3,0,98.53,0,4,92.0,1,30.95,1,1,0,25.41,63.44,6300
78,123,597,0,104.3,95.6,2656.56,22.2,440000,54.65,3,0,98.53,1,4,56.0,1,31.0,1,0,0,25.41,44.0,4500
110,198,1023,0,104.4,95.6,2656.56,22.2,1800000,54.65,4,0,98.53,1,4,217.0,1,31.11,0,0,0,25.41,165.0,10500
93,124,788,1,104.29,95.6,2656.56,22.2,600000,54.65,4,0,98.53,0,4,87.0,1,31.01,1,1,0,25.41,54.0,5600
75,106,663,0,107.51,173.3,2351.7,34.0,490000,110.24,4,0,144.34,1,4,70.0,1,31.17,0,0,0,6.58,50.0,6200
84,93,273,0,107.45,173.3,2351.7,34.0,420000,110.24,4,0,144.34,0,4,56.0,1,31.21,0,0,0,6.58,51.0,4988
103,195,1515,0,107.49,173.3,2351.7,34.0,1100000,110.24,4,0,144.34,1,4,205.0,1,31.22,0,0,0,6.58,145.0,8500
69,87,1481,0,107.51,173.3,2351.7,34.0,500000,110.24,3,0,144.34,1,4,100.0,1,31.18,0,0,0,6.58,40.0,4800
157,157,1714,0,107.47,173.3,2351.7,34.0,2000000,110.24,4,0,144.34,0,4,260.0,1,31.23,0,1,0,6.58,200.0,13000
91,112,1469,0,107.43,173.3,2351.7,34.0,400000,110.24,3,0,144.34,1,4,49.0,1,31.2,0,0,0,6.58,38.0,4500
84,118,1274,0,107.52,173.3,2351.7,34.0,600000,110.24,4,0,144.34,0,4,71.0,1,31.18,0,0,0,6.58,56.0,7300
19,19,1383,0,107.46,173.3,2351.7,34.0,700000,110.24,1,0,144.34,0,4,130.0,1,31.22,0,1,0,6.58,70.0,20000
106,147,317,0,100.29,65.3,1632.99,11.9,900000,34.73,4,0,54.85,0,4,120.0,1,25.63,0,0,0,4.98,80.0,7500
51,156,753,0,100.3,65.3,1632.99,11.9,1600000,34.73,4,0,54.85,0,4,270.0,0,25.65,0,1,0,4.98,60.0,15000
77,146,1344,0,100.22,65.3,1632.99,11.9,2000000,34.73,4,0,54.85,1,4,260.0,1,25.61,0,1,0,4.98,200.0,14000
232,256,1988,0,100.29,65.3,1632.99,11.9,2365000,34.73,6,0,54.85,1,4,550.0,1,25.65,0,1,0,4.98,474.0,13000
90,249,2289,0,100.29,65.3,1632.99,11.9,950000,34.73,5,0,54.85,1,4,212.0,1,25.64,0,1,0,4.98,84.0,10000
61,475,3792,0,100.17,65.3,1632.99,11.9,5770000,34.73,8,0,54.85,1,4,910.0,1,25.68,0,1,0,4.98,577.0,20000
81,205,2088,0,100.29,65.3,1632.99,11.9,1300000,34.73,5,0,54.85,0,4,210.0,1,25.64,0,1,0,4.98,115.0,9000
107,145,1952,0,100.28,65.3,1632.99,11.9,1010000,34.73,3,0,54.85,1,4,203.7,0,25.64,0,1,0,4.98,155.0,14000
